Column Name,Data Type,Description
u,int,Start node ID (OSMnx simplified graph) for the road segment.
v,int,End node ID (OSMnx simplified graph) for the road segment.
key,int,"Edge key (OSMnx, usually 0 after simplification)."
geometry,geometry,Linestring geometry of the simplified OSM road segment (CRS: EPSG:4326).
_idx_,int,Internal row identifier from intermediate processing.
ris_route_id,varchar,The NYSDOT RIS `ROUTE_ID` matched to this OSM segment.
ris_min_from_mi,double,Estimated starting milepoint on the `route_id` corresponding to this OSM segment's matched portion.
ris_max_to_mi,double,Estimated ending milepoint on the `route_id` corresponding to this OSM segment's matched portion.
ris_fclass_overlap_dist_mi,double,Length (miles) of overlap between the matched milepoint range and the selected Functional Class record's range.
ris_fclass_nysdot_fclass,int64,"NYSDOT Functional Classification code. Selected based on maximum overlap. Codes:
- `01`: Rural - Principal Arterial - Interstate
- `02`: Rural - Principal Arterial - Other Freeway/Expressway
- `04`: Rural - Principal Arterial - Other
- `06`: Rural - Minor Arterial
- `07`: Rural - Major Collector
- `08`: Rural - Minor Collector
- `09`: Rural - Local
- `11`: Urban - Principal Arterial - Interstate
- `12`: Urban - Principal Arterial - Other Freeway/Expressway
- `14`: Urban - Principal Arterial - Other
- `16`: Urban - Minor Arterial
- `17`: Urban - Major Collector
- `18`: Urban - Minor Collector
- `19`: Urban - Local
- `00`: Not a Highway"
ris_fclass_fhwa_fclass,int64,"Derived FHWA Functional Classification code. Mapping from NYSDOT code: 1->1, 2->2, 4->3, 6->4, 7->5, 8->6, 9->7. Selected based on maximum overlap."
ris_fclass_federal_aid_flag,varchar,Federal Aid system relationship associated with the functional class. (Details in RIS documentation).
ris_fclass_class_hierarchy,varchar,Functional class hierarchy level. (Details in RIS documentation).
ris_strahnet_overlap_dist_mi,double,Overlap distance (miles) with the selected STRAHNET record.
ris_strahnet_code,varchar,"Strategic Highway Network (STRAHNET) code. Selected based on maximum overlap. Codes:
- `0`: Not a STRAHNET route
- `1`: Interstate STRAHNET route
- `2`: Non-Interstate STRAHNET route
- `3`: STRAHNET Connector route
- `N`: Not a highway"
ris_strahnet_description,varchar,Text description of the STRAHNET code.
ris_trk_rte_overlap_dist_mi,double,Overlap distance (miles) with the selected Truck Route record.
ris_trk_rte_code,varchar,Truck Route designation code. Selected based on maximum overlap. (Codes defined in RIS Domain Dictionary).
ris_trk_rte_code_description,varchar,Text description of the Truck Route code.
ris_bridge_overlap_dist_mi,double,Overlap distance (miles) with the selected Bridge Inventory record.
ris_bridge_bin,varchar,Bridge Identification Number (BIN) of the overlapping bridge structure. Selected based on lowest condition rating.
ris_nysdot_bridge_carried,varchar,Feature carried by the bridge. (From NYSDOT Bridges dataset).
ris_nysdot_bridge_crossed,varchar,Feature crossed by the bridge. (From NYSDOT Bridges dataset).
ris_nysdot_bridge_primary_owner,varchar,"Primary owner code. (Codes: 10=NYSDOT, 30=County, 40=Town, 41=Village, 42=City, etc.). (From NYSDOT Bridges dataset)."
